TrainAveLoss,PubtestAveLoss,PritestAveLoss,,,,,,,,,,,,,,,,,
4.033139061,0.284133881,0.31278789,,,,,,,,,,,,,,,,,
3.921447505,0.495118767,0.450529635,,,,,,,,,,,,,,,,,
3.723797324,0.071474031,0.060327508,,,,,,,,,,,,,,,,,
3.486275984,0.071539342,0.058983225,,,,,,,,,,,,,,,,,
3.258069062,0.16835095,0.146808743,,,,,,,,,,,,,,,,,
3.073795568,0.092569605,0.076545037,,,,,,,x,y,z,,,,,,,,
2.855591568,0.160087183,0.17991139,,,,,,Happy,1.7,1.8,1.5,,,,,,,,
2.677193512,0.077481516,0.068009466,,,,,,Sad,-1.3,-1.5,-1.4,,,,,,,,
2.542559121,0.139556915,0.148051709,,,,,,Surprise,-1.6,1.5,-0.5,,,,,,,,
2.433779693,0.104309782,0.089380525,,,,,,Angry,-2,1.2,-1,,,,,,,,
,,,,,,,,Disgust,-1.8,1.2,1,,,,,,,,
,,,,,,,,Fear,-2,0.5,-2,,,,,,,,
,,,,,,,,Neutral,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Happy,Sad,Surprise,Angry,Disgust,Fear,Neutral
,,,,,,,,,,,,x,1.7,-1.3,-1.6,-2,-1.8,-2,0
,,,,,,,,,,,,y,1.8,-1.5,1.5,1.2,1.2,0.5,0
,,,,,,,,,,,,z,1.5,-1.4,-0.5,-1,1,-2,0
